"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"10/01/2021 09:00 - 10/01/2021 10:00","BZN|RO","7050.00","6970.00"
"10/01/2021 10:00 - 10/01/2021 11:00","BZN|RO","7102.00","6960.00"
"10/01/2021 11:00 - 10/01/2021 12:00","BZN|RO","7043.00","6920.00"
"10/01/2021 12:00 - 10/01/2021 13:00","BZN|RO","6947.00","6820.00"
"10/01/2021 13:00 - 10/01/2021 14:00","BZN|RO","6934.00","6840.00"
"10/01/2021 14:00 - 10/01/2021 15:00","BZN|RO","7118.00","7050.00"
"10/01/2021 15:00 - 10/01/2021 16:00","BZN|RO","7621.00","7600.00"
"10/01/2021 16:00 - 10/01/2021 17:00","BZN|RO","7764.00","7800.00"
"10/01/2021 17:00 - 10/01/2021 18:00","BZN|RO","7736.00","7770.00"
"10/01/2021 18:00 - 10/01/2021 19:00","BZN|RO","7617.00","7600.00"
"10/01/2021 19:00 - 10/01/2021 20:00","BZN|RO","7248.00","7330.00"
"10/01/2021 20:00 - 10/01/2021 21:00","BZN|RO","6910.00","6900.00"
"10/01/2021 21:00 - 10/01/2021 22:00","BZN|RO","6549.00","6460.00"
"10/01/2021 22:00 - 10/01/2021 23:00","BZN|RO","6292.00","6160.00"
"10/01/2021 23:00 - 11/01/2021 00:00","BZN|RO","6047.00","6000.00"
"11/01/2021 00:00 - 11/01/2021 01:00","BZN|RO","5948.00","5900.00"
"11/01/2021 01:00 - 11/01/2021 02:00","BZN|RO","5950.00","5880.00"
"11/01/2021 02:00 - 11/01/2021 03:00","BZN|RO","6054.00","5980.00"
"11/01/2021 03:00 - 11/01/2021 04:00","BZN|RO","6294.00","6250.00"
"11/01/2021 04:00 - 11/01/2021 05:00","BZN|RO","6861.00","7000.00"
"11/01/2021 05:00 - 11/01/2021 06:00","BZN|RO","7849.00","8080.00"
"11/01/2021 06:00 - 11/01/2021 07:00","BZN|RO","8536.00","8740.00"
"11/01/2021 07:00 - 11/01/2021 08:00","BZN|RO","9054.00","9020.00"
"11/01/2021 08:00 - 11/01/2021 09:00","BZN|RO","9102.00","9050.00"
"11/01/2021 09:00 - 11/01/2021 10:00","BZN|RO","9054.00","8980.00"
"11/01/2021 10:00 - 11/01/2021 11:00","BZN|RO","8971.00","8970.00"
"11/01/2021 11:00 - 11/01/2021 12:00","BZN|RO","8966.00","8950.00"
"11/01/2021 12:00 - 11/01/2021 13:00","BZN|RO","8767.00","8820.00"
"11/01/2021 13:00 - 11/01/2021 14:00","BZN|RO","8649.00","8740.00"
"11/01/2021 14:00 - 11/01/2021 15:00","BZN|RO","8659.00","8770.00"
"11/01/2021 15:00 - 11/01/2021 16:00","BZN|RO","8994.00","9000.00"
"11/01/2021 16:00 - 11/01/2021 17:00","BZN|RO","8985.00","9060.00"
"11/01/2021 17:00 - 11/01/2021 18:00","BZN|RO","8892.00","8950.00"
"11/01/2021 18:00 - 11/01/2021 19:00","BZN|RO","8643.00","8720.00"
"11/01/2021 19:00 - 11/01/2021 20:00","BZN|RO","8203.00","8330.00"
"11/01/2021 20:00 - 11/01/2021 21:00","BZN|RO","7581.00","7750.00"
"11/01/2021 21:00 - 11/01/2021 22:00","BZN|RO","7061.00","7150.00"
"11/01/2021 22:00 - 11/01/2021 23:00","BZN|RO","6713.00","6750.00"
"11/01/2021 23:00 - 12/01/2021 00:00","BZN|RO","6476.00","6520.00"
"12/01/2021 00:00 - 12/01/2021 01:00","BZN|RO","6374.00","6400.00"
"12/01/2021 01:00 - 12/01/2021 02:00","BZN|RO","6385.00","6370.00"
"12/01/2021 02:00 - 12/01/2021 03:00","BZN|RO","6422.00","6420.00"
"12/01/2021 03:00 - 12/01/2021 04:00","BZN|RO","6621.00","6650.00"
"12/01/2021 04:00 - 12/01/2021 05:00","BZN|RO","7116.00","7200.00"
"12/01/2021 05:00 - 12/01/2021 06:00","BZN|RO","7983.00","8100.00"
"12/01/2021 06:00 - 12/01/2021 07:00","BZN|RO","8707.00","8750.00"
"12/01/2021 07:00 - 12/01/2021 08:00","BZN|RO","9027.00","9070.00"
"12/01/2021 08:00 - 12/01/2021 09:00","BZN|RO","9139.00","9030.00"
"12/01/2021 09:00 - 12/01/2021 10:00","BZN|RO","9075.00","8950.00"
"12/01/2021 10:00 - 12/01/2021 11:00","BZN|RO","9038.00","8870.00"
"12/01/2021 11:00 - 12/01/2021 12:00","BZN|RO","8974.00","8900.00"
"12/01/2021 12:00 - 12/01/2021 13:00","BZN|RO","8769.00","8800.00"
"12/01/2021 13:00 - 12/01/2021 14:00","BZN|RO","8591.00","8670.00"
"12/01/2021 14:00 - 12/01/2021 15:00","BZN|RO","8593.00","8750.00"
"12/01/2021 15:00 - 12/01/2021 16:00","BZN|RO","8951.00","9030.00"
"12/01/2021 16:00 - 12/01/2021 17:00","BZN|RO","8955.00","9080.00"
"12/01/2021 17:00 - 12/01/2021 18:00","BZN|RO","8868.00","8970.00"
