"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|RO","Without Sequence","209.40","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|RO","Without Sequence","197.67","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|RO","Without Sequence","180.00","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|RO","Without Sequence","179.06","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|RO","Without Sequence","189.78","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|RO","Without Sequence","249.60","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|RO","Without Sequence","295.00","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|RO","Without Sequence","305.00","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|RO","Without Sequence","300.00","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|RO","Without Sequence","305.00","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|RO","Without Sequence","300.00","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|RO","Without Sequence","300.34","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|RO","Without Sequence","295.00","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|RO","Without Sequence","295.00","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|RO","Without Sequence","300.00","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|RO","Without Sequence","295.00","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|RO","Without Sequence","298.00","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|RO","Without Sequence","305.00","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|RO","Without Sequence","295.00","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|RO","Without Sequence","292.44","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|RO","Without Sequence","285.00","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|RO","Without Sequence","238.72","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|RO","Without Sequence","246.36","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|RO","Without Sequence","215.04","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|RO","Without Sequence","180.00","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|RO","Without Sequence","81.00","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|RO","Without Sequence","44.72","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|RO","Without Sequence","31.70","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|RO","Without Sequence","37.54","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|RO","Without Sequence","109.00","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|RO","Without Sequence","193.39","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|RO","Without Sequence","247.00","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|RO","Without Sequence","250.00","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|RO","Without Sequence","268.00","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|RO","Without Sequence","263.89","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|RO","Without Sequence","250.00","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|RO","Without Sequence","233.00","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|RO","Without Sequence","220.30","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|RO","Without Sequence","222.52","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|RO","Without Sequence","247.00","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|RO","Without Sequence","271.00","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|RO","Without Sequence","271.00","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|RO","Without Sequence","271.00","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|RO","Without Sequence","265.00","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|RO","Without Sequence","206.00","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|RO","Without Sequence","180.00","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|RO","Without Sequence","180.00","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|RO","Without Sequence","155.00","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|RO","Without Sequence","81.00","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|RO","Without Sequence","12.32","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|RO","Without Sequence","11.00","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|RO","Without Sequence","11.00","",""
